sample,reviewer,category
1,4355,refactoring-inducing
1,738,refactoring-inducing
1,133,refactoring-inducing
1,3046,refactoring-inducing
1,6905,refactoring-inducing
1,4879,refactoring-inducing
1,364,refactoring-inducing
1,1388,refactoring-inducing
1,1440,refactoring-inducing
1,4241,refactoring-inducing
1,2971,refactoring-inducing
1,14611,refactoring-inducing
1,206,refactoring-inducing
1,4034,refactoring-inducing
1,1210,refactoring-inducing
1,76,refactoring-inducing
1,8408,non-refactoring-inducing
1,425,non-refactoring-inducing
1,12707,non-refactoring-inducing
1,1218,non-refactoring-inducing
1,1703,non-refactoring-inducing
1,2290,non-refactoring-inducing
1,225,non-refactoring-inducing
1,667,non-refactoring-inducing
1,4756,non-refactoring-inducing
1,1090,non-refactoring-inducing
2,124,refactoring-inducing
2,8288,refactoring-inducing
2,800,refactoring-inducing
2,140,refactoring-inducing
2,2270,refactoring-inducing
2,42,refactoring-inducing
2,15079,refactoring-inducing
2,438,refactoring-inducing
2,234,refactoring-inducing
2,84,refactoring-inducing
2,3435,refactoring-inducing
2,1985,refactoring-inducing
2,2241,refactoring-inducing
2,1770,refactoring-inducing
2,2536,non-refactoring-inducing
2,4018,non-refactoring-inducing
2,810,non-refactoring-inducing
2,647,non-refactoring-inducing
2,3232,non-refactoring-inducing
2,92,non-refactoring-inducing
2,1639,non-refactoring-inducing
2,4169,non-refactoring-inducing
2,96,non-refactoring-inducing
2,3467,non-refactoring-inducing
2,85,non-refactoring-inducing
3,1292,refactoring-inducing
3,30067,refactoring-inducing
3,5134,refactoring-inducing
3,319,refactoring-inducing
3,310,refactoring-inducing
3,77,refactoring-inducing
3,35787,refactoring-inducing
3,1005,refactoring-inducing
3,776,refactoring-inducing
3,184,refactoring-inducing
3,598,refactoring-inducing
3,1649,refactoring-inducing
3,201,refactoring-inducing
3,885,refactoring-inducing
3,10,refactoring-inducing
3,256,refactoring-inducing
3,4534,refactoring-inducing
3,179,refactoring-inducing
3,113,refactoring-inducing
3,33,refactoring-inducing
3,1258,refactoring-inducing
3,4028,refactoring-inducing
3,14223,refactoring-inducing
3,2009,refactoring-inducing
3,853,refactoring-inducing
3,1151,refactoring-inducing
3,51,refactoring-inducing
3,3550,refactoring-inducing
3,4018,refactoring-inducing
3,1577,refactoring-inducing
3,750,refactoring-inducing
3,444,refactoring-inducing
3,282,refactoring-inducing
3,816,non-refactoring-inducing
3,1334,non-refactoring-inducing
3,166,non-refactoring-inducing
3,444,non-refactoring-inducing
3,34823,non-refactoring-inducing
3,954,non-refactoring-inducing
3,85,non-refactoring-inducing
3,738,non-refactoring-inducing
3,183,non-refactoring-inducing
3,1069,non-refactoring-inducing
3,507,non-refactoring-inducing
3,827,non-refactoring-inducing
3,530,non-refactoring-inducing
3,285,non-refactoring-inducing
3,2916,non-refactoring-inducing
3,578,non-refactoring-inducing
3,6345,non-refactoring-inducing
3,3330,non-refactoring-inducing
3,827,non-refactoring-inducing
3,507,non-refactoring-inducing
3,720,non-refactoring-inducing
3,56,non-refactoring-inducing
3,33124,non-refactoring-inducing
3,723,non-refactoring-inducing
3,2280,non-refactoring-inducing
3,832,non-refactoring-inducing
4,4024,refactoring-inducing
4,2702,refactoring-inducing
4,663,refactoring-inducing
4,1588,refactoring-inducing
4,2212,refactoring-inducing
4,1337,refactoring-inducing
4,14177,refactoring-inducing
4,3701,refactoring-inducing
4,260,refactoring-inducing
4,244,refactoring-inducing
4,3289,refactoring-inducing
4,4706,refactoring-inducing
4,2531,refactoring-inducing
4,1719,refactoring-inducing
4,1151,refactoring-inducing
4,40,refactoring-inducing
4,5906,refactoring-inducing
4,76,refactoring-inducing
4,1302,refactoring-inducing
4,71,refactoring-inducing
4,1639,refactoring-inducing
4,1660,refactoring-inducing
4,2933,refactoring-inducing
4,4799,refactoring-inducing
4,85,refactoring-inducing
4,23,refactoring-inducing
4,28364,refactoring-inducing
4,85,refactoring-inducing
4,1107,refactoring-inducing
4,1031,refactoring-inducing
4,1162,refactoring-inducing
4,781,refactoring-inducing
4,385,refactoring-inducing
4,1258,refactoring-inducing
4,14215,refactoring-inducing
4,2124,refactoring-inducing
4,250,refactoring-inducing
4,1397,refactoring-inducing
4,1585,refactoring-inducing
4,236,refactoring-inducing
4,2193,refactoring-inducing
4,3701,refactoring-inducing
4,703,refactoring-inducing
4,1747,refactoring-inducing
4,24,refactoring-inducing
4,556,refactoring-inducing
4,215,refactoring-inducing
4,473,refactoring-inducing
4,12305,refactoring-inducing
4,3188,refactoring-inducing
4,2841,refactoring-inducing
4,282,refactoring-inducing
4,3211,refactoring-inducing
4,4763,non-refactoring-inducing
4,4985,non-refactoring-inducing
4,214,non-refactoring-inducing
4,1302,non-refactoring-inducing
4,233,non-refactoring-inducing
4,1736,non-refactoring-inducing
4,3932,non-refactoring-inducing
4,3017,non-refactoring-inducing
4,598,non-refactoring-inducing
4,1353,non-refactoring-inducing
4,394,non-refactoring-inducing
4,982,non-refactoring-inducing
4,490,non-refactoring-inducing
4,55,non-refactoring-inducing
4,698,non-refactoring-inducing
4,827,non-refactoring-inducing
4,507,non-refactoring-inducing
4,905,non-refactoring-inducing
4,755,non-refactoring-inducing
4,1179,non-refactoring-inducing
4,981,non-refactoring-inducing
4,35320,non-refactoring-inducing
4,559,non-refactoring-inducing
4,2717,non-refactoring-inducing
4,9907,non-refactoring-inducing
4,10715,non-refactoring-inducing
4,773,non-refactoring-inducing
4,223,non-refactoring-inducing
4,3658,non-refactoring-inducing
4,463,non-refactoring-inducing
